tid,name,pos,hgt,weight,imgURL,born/year,born/loc,contract/amount,contract/exp,draft/round,draft/pick,draft/tid,draft/originalTid,draft/year,college,ratings/0/hgt,ratings/0/stre,ratings/0/spd,ratings/0/jmp,ratings/0/endu,ratings/0/ins,ratings/0/dnk,ratings/0/ft,ratings/0/fg,ratings/0/tp,ratings/0/blk,ratings/0/stl,ratings/0/drb,ratings/0/pss,ratings/0/reb,ratings/0/pot,skills/0,skills/1,awards/0/season,awards/0/type,awards/1/season,awards/1/type,skills/2,injury/type,injury/gamesRemaining,firstName,lastName
0,Matt Bullard,PF,82,215,http://i.imgur.com/DTOu61h.png,1967,"Des Moines, IA",225,1996,0,0,-1,-1,1990,Iowa,75,58,40,55,45,56,61,71,66,62,46,32,31,32,55,53,,,,,,,,,,,
0,Donnie Boyce,SG,77,196,http://www.tradingcarddb.com/Images/Cards/Basketball/2462/2462-203Fr.jpg,1973,"Chicago, IL",250,1997,2,13,0,0,1995,Colorado,54,31,62,62,48,54,62,43,54,24,54,34,54,64,45,47,,,,,,,,,,,
0,Todd Mundt,C,84,250,http://i.imgur.com/w6a5QII.jpg,1970,"Iowa City, IA",225,1996,0,0,-1,-1,1993,Delta State,85,79,24,54,59,65,24,65,35,0,62,35,15,45,56,50,,,,,,,,,,,
-1,Tim Kempton,PF,82,245,http://3.bp.blogspot.com/-_cEikxD7Cxo/VE_Tu8PU-QI/AAAAAAAAEFU/_etoKllJ2YQ/s1600/3414683.JPG,1964,"Jamaica, NY",225,1996,6,8,11,11,1986,Notre Dame,79,73,34,45,53,54,45,70,43,0,38,55,43,47,72,53,,,,,,,,,,,
1,Dino Radja,FC,83,225,http://www.interbasket.net/players/radja.jpg,1967,"Split, Croatia",2640,2000,2,13,1,1,1989,Croatia,83,64,43,73,74,85,83,63,53,14,76,43,32,46,76,68,,,,,,,,,,,
1,Rick Fox,SF,79,230,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687725Fr.jpg,1969,"Toronto, Canada",1750,1997,1,24,1,1,1991,North Carolina,57,56,62,58,73,35,69,54,64,56,34,43,50,56,54,59,,,,,,,,,,,
1,Dana Barros,G,71,163,http://a.espncdn.com/i/headshots/nba/players/65/40.jpg,1967,"Boston, MA",3300,2001,1,16,24,24,1989,Boston College,8,32,79,76,72,22,75,64,74,86,46,53,73,64,45,60,,,,,,,,,,,
1,David Wesley,G,72,190,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-96Fr.jpg,1970,"San Antonio, TX",300,1997,0,0,-1,,1992,Baylor,14,32,74,65,72,34,68,65,65,54,67,65,80,75,45,58,,,,,,,,,,,
1,Dee Brown,G,73,160,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687914Fr.jpg,1968,"Jacksonville, FL",3000,2000,1,19,1,1,1990,Jacksonville,47,43,64,83,54,23,60,76,54,45,23,54,58,74,63,62,,,,,,,,,,,
1,Eric Montross,C,84,270,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687851Fr.jpg,1971,"Indianapolis, IN",1040,2004,1,9,1,1,1994,North Carolina,89,72,39,35,54,63,66,2,46,0,76,46,24,50,70,56,,,,,,,,,,,
1,Sherman Douglas,PG,72,180,http://static.bkref.com/images/players/douglsh01.jpg,1966,"Washington, DC",3163,1998,2,1,13,13,1989,Syracuse,7,44,76,68,59,23,74,70,66,33,34,54,74,70,54,57,,,,,,,,,,,
14,Todd Day,SG,78,188,http://i.imgur.com/nO00G5L.png,1970,"Decatur, IL",2518,1996,1,9,14,,1992,Arkansas,50,34,68,64,61,24,54,68,77,83,25,42,58,44,23,58,,,,,,,,,,,
1,Eric Williams,GF,80,220,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687974Fr.jpg,1972,"Newark, NJ",876,1998,1,14,1,1,1995,Providence,65,55,69,64,60,54,64,75,63,44,32,61,43,54,63,59,,,,,,,,,,,
1,Greg Minor,GF,78,210,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687880Fr.jpg,1971,"Sandersville, GA",325,1996,1,25,1,1,1994,Louisville,54,35,64,76,45,26,56,45,60,45,45,65,45,65,66,56,,,,,,,,,,,
1,Pervis Ellison,FC,81,210,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687939Fr.jpg,1967,"Savannah, GA",1430,2000,1,1,22,22,1989,Louisville,71,68,35,52,60,62,61,66,39,1,66,45,23,46,78,54,,,,,,,,,,,
1,Junior Burrough,PF,80,242,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687966Fr.jpg,1973,"Charlotte, NC",300,1996,2,4,1,1,1995,Virginia,68,55,41,66,46,55,65,54,45,0,47,53,33,44,66,54,,,,,,,,,,,
-1,Thomas Hamilton,C,86,330,http://www.celticstats.com/pic/thomashamilton.jpg,1975,"Chicago, IL",225,1996,0,0,-1,-1,1994,Pittsburgh,92,74,8,7,31,79,70,42,25,0,78,10,5,32,85,50,,,,,,,,,,,
-1,Rick Brunson,PG,76,190,https://i.imgur.com/va4oDdV.png,1972,"Syracuse, NY",200,1996,0,0,-1,-1,1995,Pittsburgh,36,34,65,45,55,36,45,55,54,64,34,54,65,59,33,54,,,,,,,,,,,
1,Doug Smith,FC,82,220,http://2.bp.blogspot.com/-CB1L7dnbEbA/UhAyrOFCMOI/AAAAAAAACiE/AvDQiPzPHUo/s1600/Doug+Smith+2.jpg,1969,"Detroit, MI",450,1996,1,6,5,5,1991,Missouri,79,74,47,53,40,58,56,77,24,0,43,50,13,24,72,54,,,,,,,,,,,
1,Charles Claxton,C,84,265,http://thedraftreview.com/history/drafted1994/images/charles-claxton.jpg,1970,"St. Thomas, U.S. Virgin Islands",225,1996,2,24,20,20,1994,Georgia,90,65,34,45,46,55,65,76,56,0,56,56,24,34,66,51,,,,,,,,,,,
-1,Larry Sykes,PF,81,255,http://i.imgur.com/aKb6htQ.png,1973,"Toledo, OH",225,1996,0,0,-1,-1,1995,Xavier,71,65,33,56,34,54,56,45,55,0,54,27,45,35,45,47,,,,,,,,,,,
2,Larry Johnson,PF,78,250,http://i.imgur.com/GOSgP9R.png,1969,"Tyler, TX",4295,2005,1,1,2,2,1991,UNLV,57,82,65,75,88,77,77,78,66,52,64,63,56,65,80,76,,,1992,Rookie of the Year,,,,,,,
2,Glen Rice,SF,79,215,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-688001Fr.jpg,1967,"Jacksonville, AR",3302,2000,1,4,13,13,1989,Michigan,58,54,73,72,83,33,86,83,96,92,41,45,65,58,44,75,,,,,,,,,,,
2,Kendall Gill,GF,77,195,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687941Fr.jpg,1968,"Chicago, IL",3200,2000,1,5,2,2,1990,Illinois,47,53,70,64,56,32,57,74,73,67,34,54,65,74,63,62,,,,,,,,,,,
2,Scott Burrell,SF,79,218,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687892Fr.jpg,1971,"New Haven, CT",1040,1998,1,20,2,2,1993,Connecticut,76,49,58,65,63,66,46,76,35,65,66,46,66,46,66,62,,,,,,,,,,,
16,Kenny Anderson,PG,72,168,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687805Fr.jpg,1970,"Queens, NY",3898,1996,1,2,16,16,1991,Georgia Tech,8,42,86,77,75,43,76,77,75,58,52,69,76,78,55,71,,,,,,,,,,,
2,Matt Geiger,C,84,243,https://professionalathletehomes.files.wordpress.com/2011/03/geigema01.jpg,1969,"Salem, MA",1532,1998,2,15,13,13,1992,Georgia Tech,90,82,48,65,66,79,71,34,40,0,64,23,24,44,75,55,,,,,,,,,,,
2,Michael Adams,PG,70,163,http://www.toptenz.net/wp-content/uploads/2010/01/mike-adams.jpg,1963,"Hartford, CT",1240,1997,3,19,22,22,1985,Boston College,4,42,77,66,51,33,63,85,43,36,32,75,74,72,43,58,,,,,,,,,,,
2,Rafael Addison,SF,79,215,http://www.avisioninmotion.com/i/rafael_k12.gif,1964,"Jersey City, NJ",360,1997,2,15,20,20,1986,UCLA,57,45,47,54,53,65,56,54,43,21,56,44,45,44,43,48,,,,,,,,,,,
2,Muggsy Bogues,PG,63,136,https://s-media-cache-ak0.pinimg.com/736x/83/5a/88/835a8863a7a149f80f84e598321c06ff.jpg,1965,"Baltimore, MD",1350,1999,1,12,28,28,1987,Wake Forest,0,47,74,66,68,21,60,75,61,56,11,68,80,75,45,59,,,,,,,,,,,
2,Dell Curry,SG,76,190,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687791Fr.jpg,1964,"Harrisonburg, VA",1570,1998,1,15,26,26,1986,Virginia Tech,36,35,70,65,73,24,56,60,90,90,25,67,67,50,45,58,,,,,,,,,,,
2,Darrin Hancock,SF,79,205,http://hornets.playitusa.com/wp-content/uploads/2014/11/1995-Hancock-Darrin-210x300.jpg,1971,"Birmingham, AL",225,1996,2,11,2,2,1988,Kansas,54,65,57,82,57,55,75,45,55,15,39,64,39,44,60,55,,,,,,,,,,,
2,Robert Parish,C,84,230,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687806Fr.jpg,1953,"Shreveport, LA",2500,1996,1,8,8,8,1976,Centenary,92,83,12,44,24,80,70,56,42,0,66,42,32,52,73,52,,,,,,,,,,,
2,Khalid Reeves,PG,75,199,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687909Fr.jpg,1972,"Queens, NY",1602,1999,1,12,13,13,1994,Arizona,29,38,64,46,45,34,65,76,46,76,64,46,70,65,44,58,,,,,,,,,,,
2,Greg Sutton,PG,74,170,http://i.imgur.com/jErRORQ.jpg,1967,"Santa Cruz, CA",250,1996,2,22,23,23,1991,Oral Roberts,21,34,65,54,65,25,44,64,34,64,48,57,68,59,54,54,,,,,,,,,,,
18,Joe Wolf,C,83,230,http://i.imgur.com/i8lxHBf.jpg,1964,"Kohler, WI",225,1996,1,13,11,11,1987,North Carolina,85,65,45,36,43,47,57,45,24,27,67,35,27,24,68,51,,,,,,,,,,,
2,George Zidek,C,84,250,https://mercymercyjeromekersey.files.wordpress.com/2013/09/george-zidek.jpg,1973,"Zlin, Czech Republic",603,1998,1,22,2,2,1995,UCLA,92,83,25,56,56,66,57,77,54,0,35,34,39,21,73,56,,,,,,,,,,,
3,Michael Jordan,GF,78,215,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-352Fr.jpg,1963,"Brooklyn, NY",3850,1996,1,3,3,3,1984,North Carolina,66,72,90,94,96,95,96,86,95,75,54,90,76,73,36,85,,,1985,Rookie of the Year,1988,Defensive Player of the Year,,,,,
3,Scottie Pippen,SF,80,228,http://www.basketballphoto.com/Photos/Scottie%20Pippen%2032765.jpg,1965,"Hamburg, AR",2925,1998,1,5,24,24,1987,Central Arkansas,73,67,80,85,93,67,83,66,83,65,63,87,75,76,76,75,Dp,,,,,,,,,,
3,Dennis Rodman,PF,79,210,http://i.imgur.com/R4WF3XC.png,1961,"Trenton, NJ",2500,1996,2,3,7,7,1986,Southeastern Oklahoma State,76,82,76,95,84,54,56,67,33,12,54,68,44,54,99,66,A,R,1990,Defensive Player of the Year,1991,Defensive Player of the Year,Di,,,,
3,Luc Longley,C,86,265,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-243Fr.jpg,1969,"Melbourne, Australia",2300,1998,1,7,15,15,1991,New Mexico,95,73,38,35,54,67,64,56,25,10,65,44,34,54,77,58,,,,,,,,,,,
3,Bill Wennington,C,84,245,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSANxKZH_1c9aTyecBTVBu4PgKrCege9mHleXEkJgmnHjOQJGcPIg,1963,"Montreal, Canada",1000,1997,1,16,5,5,1985,,92,79,40,45,50,54,65,56,60,0,44,45,30,55,72,55,,,,,,,,,,,
3,Ron Harper,G,78,185,https://s-media-cache-ak0.pinimg.com/236x/21/3f/cb/213fcbd076732c992cb0a1ec52af2195.jpg,1964,"Dayton, OH",3120,1999,1,8,4,4,1986,Miami (OH),52,36,68,67,68,37,62,84,72,74,65,72,80,75,59,59,,,,,,,,,,,
3,Toni Kukoc,SF,82,192,http://vignette4.wikia.nocookie.net/nba/images/f/fc/Toni_Kuko%C4%8D.jpg/revision/latest?cb=20101128170957,1968,"Split, Croatia",3560,2000,2,2,3,3,1990,Croatia,78,56,73,65,64,56,46,74,64,72,43,54,54,78,75,69,,,,,,,,,,,
3,Randy Brown,PG,74,190,http://a.espncdn.com/i/headshots/nba/players/65/98.jpg,1968,"Chicago, IL",900,2001,2,4,22,22,1991,,21,47,60,65,44,34,54,64,44,65,45,68,72,65,55,51,,,,,,,,,,,
3,Jud Buechler,SF,78,220,http://a.espncdn.com/i/headshots/nba/players/65/112.jpg,1968,"San Diego, CA",300,1996,2,11,24,24,1990,Arizona,52,65,34,56,76,34,65,43,43,32,23,43,54,65,34,48,,,,,,,,,,,
3,Jason Caffey,PF,80,255,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687990Fr.jpg,1973,"Mobile, AL",627,1998,1,20,3,3,1995,Alabama,71,70,54,53,55,59,54,70,44,0,65,45,35,38,70,56,,,,,,,,,,,
3,Dickey Simpkins,FC,81,248,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687889Fr.jpg,1972,"Fort Washington, MD",845,1998,1,21,3,3,1994,Providence,72,72,45,65,56,64,60,76,36,0,55,45,26,46,75,53,,,,,,,,,,,
3,James Edwards,FC,84,225,http://cdn.bleacherreport.com/images_root/slideshows/189/slideshow_18917/display_image.jpg,1955,"Seattle, WA",225,1996,3,2,12,12,1977,Washington,85,83,25,55,23,70,67,5,50,0,62,21,26,46,67,48,,,,,,,,,,,
3,Jack Haley,FC,82,240,http://i.imgur.com/hmDD3Wf.png,1964,"Long Beach, CA",225,1996,4,10,3,3,1987,UCLA,79,64,34,44,54,65,34,33,32,0,64,33,23,33,64,50,,,,,,,,,,,
3,Steve Kerr,G,75,175,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-91Fr.jpg,1965,"Beirut, Lebanon",800,1998,2,25,20,20,1988,Arizona,30,37,59,50,62,6,48,82,84,90,32,56,76,73,34,56,,,,,,,,,,,
4,Terrell Brandon,PG,71,180,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687736Fr.jpg,1970,"Portland, OR",1155,1999,1,11,4,4,1991,Oregon,6,35,83,79,85,56,86,95,85,72,37,70,90,86,39,66,,,,,,,,,,,
4,Dan Majerle,GF,78,215,http://i.imgur.com/muVYCKd.png,1965,"Traverse City, MI",3100,1996,1,14,20,20,1988,Central Michigan,55,53,62,52,53,36,47,35,78,83,62,54,56,62,53,59,,,,,,,,,,,
4,Chris Mills,SF,78,215,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687787Fr.jpg,1970,"Los Angeles, CA",1040,1997,1,22,4,4,1993,Arizona,54,60,76,75,85,45,75,75,74,74,46,57,38,49,64,59,,,,,,,,,,,
4,Bobby Phills,SG,77,210,http://www.cavshistory.com/images/players/Bobby_Phills.jpg,1969,"Baton Rouge, LA",1658,1997,2,18,14,14,1991,Southern,65,54,71,73,85,44,75,60,72,82,65,34,56,44,42,61,,,,,,,,,,,
4,John Amaechi,C,82,270,http://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amaechi_John_nba.jpg,1970,"Boston, MA",200,1996,0,0,-1,-1,1995,Penn State,74,85,36,56,34,54,66,0,55,45,54,66,45,65,45,56,,,,,,,,,,,
4,Michael Cage,FC,81,224,http://www.tradingcarddb.com/Images/Cards/Basketball/25620/25620-3002579Fr.jpg,1962,"West Memphis, AR",2126,1996,1,14,11,11,1984,San Diego State,72,74,30,72,63,64,65,0,27,0,53,60,25,45,82,55,,,,,,,,,,,
4,Joe Courtney,PF,80,235,http://www.tradingcarddb.com/Images/Cards/Basketball/2192/2192-506Fr.jpg,1969,"Jackson, MS",225,1996,0,0,-1,-1,1992,,65,64,33,54,55,43,54,0,66,5,76,45,36,45,66,55,,,,,,,,,,,
4,John Crotty,PG,73,185,http://www.tradingcarddb.com/Images/Cards/Basketball/2227/2227-678684Bk.jpg,1969,"Orange, NJ",350,1996,0,0,-1,-1,1991,Virginia,15,40,56,54,50,25,54,85,49,64,38,57,86,79,34,53,,,,,,,,,,,
4,Danny Ferry,SF,82,230,http://a.espncdn.com/i/headshots/nba/players/65/240.jpg,1966,"Hyattsville, MD",4643,2000,1,2,11,11,1989,Duke,79,66,58,59,62,62,63,55,65,63,23,53,62,43,66,57,,,,,,,,,,,
4,Tyrone Hill,FC,81,240,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687696Fr.jpg,1968,"Cincinnati, OH",3425,1998,1,11,8,8,1990,Xavier,78,78,45,66,49,75,72,1,54,0,45,54,33,46,88,66,,,,,,,,,,,
4,Antonio Lang,SF,80,205,http://www.cavshistory.com/images/players/Antonio_Lang.jpg,1972,"Mobile, AL",423,1997,2,2,20,20,1994,Duke,65,54,50,61,45,40,56,40,55,66,46,55,35,35,45,50,,,,,,,,,,,
4,Donny Marshall,SF,79,230,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687920Fr.jpg,1972,"Detroit, MI",200,1998,2,10,4,4,1995,,52,45,60,62,45,53,53,10,55,45,35,44,50,54,45,51,,,,,,,,,,,
4,Harold Miner,G,77,210,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687916Fr.jpg,1971,"Inglewood, CA",1733,1996,1,12,13,13,1992,Soutern California,54,35,64,91,44,36,75,65,34,54,56,76,45,34,65,56,,,,,,,,,,,
4,Bob Sura,G,77,200,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687962Fr.jpg,1973,"Wilkes-Barre, PA",752,1998,1,17,4,4,1995,Florida State,43,45,66,79,54,43,67,33,54,54,55,44,58,43,54,56,,,,,,,,,,,
5,Jason Kidd,PG,76,205,http://thesportsgeeks.com/wp-content/uploads/2012/07/kiddrookie.jpeg,1973,"San Francisco, CA",3588,2003,1,2,5,5,1994,California,38,54,78,68,74,20,66,75,48,57,43,85,86,93,76,79,,,1995,Rookie of the Year,,,,,,,
5,Jamal Mashburn,SF,80,240,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687768Fr.jpg,1972,"New York, NY",3233,2000,1,4,5,5,1993,Kentucky,64,56,65,66,69,54,64,65,86,66,45,65,63,61,54,72,,,,,,,,,,,
5,Jim Jackson,GF,78,220,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687915Fr.jpg,1970,"Toledo, OH",3200,1998,1,4,5,5,1992,Ohio State,56,43,64,63,66,53,66,77,69,75,36,64,56,66,69,64,,,,,,,,,,,
5,Lorenzo Williams,FC,81,200,http://www.tradingcarddb.com/Images/Cards/Basketball/2319/2319-290Fr.jpg,1969,"Ocala, FL",1550,1996,0,0,-1,-1,1991,Stetson,71,65,51,72,54,64,39,24,24,0,78,34,33,23,74,48,,,,,,,,,,,
5,George McCloud,SF,78,205,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687968Fr.jpg,1967,"Daytona Beach, FL",950,1996,1,7,10,10,1989,Florida State,52,45,64,64,63,23,35,64,65,95,46,57,62,56,52,59,,,,,,,,,,,
5,Roy Tarpley,PF,83,230,http://cdn3.sbnation.com/imported_assets/796910/110576.jpg,1964,"New York, NY",775,2000,1,7,5,5,1986,Michigan,85,77,50,45,70,72,75,78,55,23,82,55,50,56,77,62,,,,,,,,Suspended — Substance abuse,200,,
5,Popeye Jones,PF,80,250,http://www.tradingcarddb.com/Images/Cards/Basketball/2422/2422-687189Fr.jpg,1970,"Dresden, TN",1425,1998,2,14,9,9,1992,Murray State,68,68,34,69,54,64,65,45,43,0,65,76,45,34,90,57,,,,,,,,,,,
5,Loren Meyer,FC,82,257,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687969Fr.jpg,1972,"Emmetsburg, IO",556,1998,1,24,5,17,1995,Iowa State,79,65,44,55,49,65,45,68,52,24,65,42,34,43,73,51,,,,,,,,,,,
5,Cherokee Parks,FC,83,235,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687820Fr.jpg,1972,"Huntington Beach, CA",971,1998,1,12,5,5,1995,Duke,86,73,45,35,54,63,65,45,53,10,45,34,24,45,64,56,,,,,,,,,,,
5,Lucious Harris,G,77,190,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687902Fr.jpg,1970,"Los Angeles, CA",725,1996,2,1,5,5,1993,Long Beach State,43,36,71,67,46,35,76,46,66,46,76,46,66,66,46,56,,,,,,,,,,,
5,Scott Brooks,PG,71,165,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-32Fr.jpg,1965,"French Camp, CA",750,1996,0,0,-1,-1,1987,UC Irvine,2,17,66,48,46,27,58,86,57,54,17,54,73,74,20,50,,,,,,,,,,,
5,Tony Dumas,SG,78,190,http://i.imgur.com/9pIANHJ.png,1972,"Chicago, IL",910,1998,1,19,5,,1994,UMKC,54,34,65,54,65,24,65,35,65,45,65,66,45,65,45,53,,,,,,,,,,,
5,Terry Davis,FC,81,225,http://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Davis_Terry_nba.jpg,1967,"Danville, VA",1920,1997,0,0,-1,-1,1989,Virginia Union,71,76,34,43,56,53,57,65,34,0,58,43,28,54,65,54,,,,,,,,,,,
5,Donald Hodge,FC,84,230,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687718Fr.jpg,1969,"Washington, DC",1200,1996,2,6,5,5,1991,Temple,84,65,34,65,34,23,45,65,76,5,65,43,35,43,65,54,,,,,,,,,,,
6,Mahmoud Abdul-Rauf,PG,73,162,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687910Fr.jpg,1969,"Gulfport, MS",2600,1998,1,3,6,6,1990,LSU,15,39,84,78,85,53,70,99,84,79,34,69,74,60,57,70,,,,,,,,,,,
6,LaPhonso Ellis,PF,80,240,http://a.espncdn.com/i/headshots/nba/players/65/229.jpg,1970,"East St. Louis, IL",3039,1998,1,5,6,6,1992,Notre Dame,69,74,45,65,43,67,63,65,34,12,65,43,45,48,88,63,,,,,,,,,,,
6,Dikembe Mutombo,C,86,245,http://www.tradingcarddb.com/Images/Cards/Basketball/71961/71961-5162413Fr.jpg,1966,"Kinshasa, Congo",3250,1996,1,4,6,6,1991,Georgetown,93,95,67,95,80,73,64,65,32,0,99,28,32,54,92,70,,,1995,Defensive Player of the Year,,,,,,,
6,Jalen Rose,GF,80,210,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687783Fr.jpg,1973,"Detroit, MI",1268,2000,1,13,6,6,1995,Michigan,66,55,72,64,58,42,66,65,66,55,65,72,61,66,44,66,,,,,,,,,,,
6,Antonio McDyess,FC,81,220,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-135Fr.jpg,1974,"Quitman, MS",2213,1998,1,2,11,11,1995,Alabama,85,65,37,89,68,75,72,64,34,23,64,54,35,34,75,72,,,,,,,,,,,
6,Elmore Spencer,C,84,270,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687934Fr.jpg,1969,"Atlanta, GA",1300,1996,1,25,11,11,1992,UNLV,92,83,32,52,38,64,63,50,25,0,77,42,24,22,70,52,,,,,,,,,,,
6,Bryant Stith,SG,77,208,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687818Fr.jpg,1970,"Emporia, VA",1550,1996,1,13,6,6,1992,Virginia,43,40,68,65,61,35,67,54,63,29,45,72,66,55,52,59,,,,,,,,,,,
6,Reggie Williams,GF,79,190,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687770Fr.jpg,1964,"Baltimore, MD",1853,1997,1,4,11,11,1987,Georgetown,58,45,61,60,56,33,34,76,60,61,34,65,63,65,54,56,,,,,,,,,,,
6,Rastko Cvetkovic,C,85,260,http://i.imgur.com/quQCnam.png,1970,"Belgrade, Serbia",200,1996,0,0,-1,-1,1992,Serbia,91,95,21,32,24,64,59,4,24,0,68,54,23,23,74,48,,,,,,,,,,,
